post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47647455,Talk like caveman,entertainment,37,17,tosh,2026-04-05 16:04:47,0.4473684210526316,False
47640728,Show HN: A game where you build a GPU,technology,766,159,Jaso1024,2026-04-05 16:04:51,0.20730117340286833,True
47645432,Introduction to Computer Music (2009) [pdf],technology,161,53,luu,2026-04-05 16:04:53,0.3271604938271605,False
47644406,German implementation of eIDAS will require an Apple/Google account to function,technology,279,239,DyslexicAtheist,2026-04-05 16:04:55,0.8535714285714285,True
47640875,"LLM Wiki – example of an ""idea file""",technology,201,61,tamnd,2026-04-05 16:05:02,0.30198019801980197,True
47587089,"Zml-smi: universal monitoring tool for GPUs, TPUs and NPUs",technology,46,7,steeve,2026-04-05 16:05:10,0.14893617021276595,False
47598835,Rubysyn: Clarifying Ruby's Syntax and Semantics,entertainment,49,5,petalmind,2026-04-05 16:05:16,0.1,False
47642569,How many products does Microsoft have named 'Copilot'?,technology,649,311,gpi,2026-04-05 16:05:18,0.47846153846153844,True
47613118,Show HN: I built a small app for FSI German Course,technology,37,10,syedmsawaid,2026-04-05 16:05:19,0.2631578947368421,False
47644864,"AWS engineer reports PostgreSQL perf halved by Linux 7.0, fix may not be easy",technology,297,90,crcastle,2026-04-05 16:05:21,0.30201342281879195,True
47645025,"Show HN: Contrapunk – Real-time counterpoint harmony from guitar input, in Rust",entertainment,72,30,waveywaves,2026-04-05 16:05:23,0.410958904109589,False
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,10,1,lexalizer,2026-04-05 16:05:25,0.09090909090909091,False
47609117,Ask HN: Is there any interest in a native Qt/C++ Discord client?,worldnews,5,5,txtsd,2026-04-05 16:05:29,0.8333333333333334,False
47639303,"Show HN: I made open source, zero power PCB hackathon badges",entertainment,108,10,kaipereira,2026-04-05 16:05:32,0.09174311926605505,False
47639779,"Show HN: sllm – Split a GPU node with other developers, unlimited tokens",technology,159,79,jrandolf,2026-04-05 16:05:38,0.49375,False
47646363,Modern Generic SVGA driver for Windows 3.1,sports,43,9,userbinator,2026-04-05 16:05:45,0.20454545454545456,False
47639291,The Indie Internet Index – submit your favorite sites,technology,148,28,freshman_dev,2026-04-05 16:05:48,0.18791946308724833,False
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,technology,86,13,laszlokorte,2026-04-05 16:05:58,0.14942528735632185,False
47604887,Electrical transformer manufacturing is throttling the electrified future,worldnews,88,79,toomuchtodo,2026-04-05 16:06:01,0.8876404494382022,False
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,436,194,naves,2026-04-05 16:06:04,0.4439359267734554,True
47644566,"Advice to young people, the lies I tell myself (2024)",worldnews,112,31,mooreds,2026-04-05 16:06:10,0.2743362831858407,False
47639567,Show HN: TurboQuant-WASM – Google's vector quantization in the browser,technology,154,6,teamchong,2026-04-05 16:06:12,0.03870967741935484,False
47637757,Embarrassingly simple self-distillation improves code generation,technology,600,181,Anon84,2026-04-05 16:06:15,0.3011647254575707,True
47638075,"The CMS is dead, long live the CMS",worldnews,142,88,taubek,2026-04-05 16:06:17,0.6153846153846154,False
47606244,Training mRNA Language Models Across 25 Species for $165,technology,138,32,maziyar,2026-04-05 16:06:23,0.2302158273381295,False
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1050,797,firloop,2026-04-05 16:06:24,0.758325404376784,True
47631118,Artemis II crew take “spectacular” image of Earth,science,1038,356,andsoitis,2026-04-05 16:06:26,0.3426371511068335,True
47611993,VR Realizes the Cyberspace Metaphor,worldnews,14,8,dryadin,2026-04-05 16:06:28,0.5333333333333333,False
47641141,IBM 3270 Information Display System: Color and Programmed Symbols (1979) [pdf],technology,47,12,hggh,2026-04-05 16:06:29,0.25,False
